,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date,date_str
82,294.14,306.5,293.99,306.01,19478510.0,306.5,293.93,306.01,294.135,19632738.0,1.0,0.21,GOOG,XNAS,2026-03-09 00:00:00+00:00,Mar 09
77,305.875,309.15,305.31,306.93,14362200.0,309.15,305.31,306.93,305.875,14386421.0,1.0,0.0,GOOG,XNAS,2026-03-10 00:00:00+00:00,Mar 10
72,306.3,311.069,305.84,308.42,13320300.0,311.069,305.84,308.42,306.3,13376677.0,1.0,0.0,GOOG,XNAS,2026-03-11 00:00:00+00:00,Mar 11
67,306.155,308.64,300.84,303.21,14633273.0,308.64,300.84,303.21,306.21,15610193.0,1.0,0.0,GOOG,XNAS,2026-03-12 00:00:00+00:00,Mar 12
62,307.0,307.24,299.7801,301.46,16811259.0,307.26,299.7801,301.46,306.655,16857533.0,1.0,0.0,GOOG,XNAS,2026-03-13 00:00:00+00:00,Mar 13
57,303.5,305.57,301.81,304.42,14764954.0,305.57,301.81,304.42,303.6,14822047.0,1.0,0.0,GOOG,XNAS,2026-03-16 00:00:00+00:00,Mar 16
52,304.65,310.05,304.37,309.41,14395157.0,310.05,304.35,309.41,304.67,14423553.0,1.0,0.0,GOOG,XNAS,2026-03-17 00:00:00+00:00,Mar 17
47,307.905,310.75,305.5494,306.3,13753387.0,310.75,305.545,306.3,307.905,13848428.0,1.0,0.0,GOOG,XNAS,2026-03-18 00:00:00+00:00,Mar 18
42,303.21,306.68,301.0,305.73,15343571.0,306.68,301.0,305.73,303.21,15399724.0,1.0,0.0,GOOG,XNAS,2026-03-19 00:00:00+00:00,Mar 19
37,304.135,304.37,296.76,298.79,34103002.0,304.37,296.75,298.79,304.07,34763531.0,1.0,0.0,GOOG,XNAS,2026-03-20 00:00:00+00:00,Mar 20
32,300.53,303.37,298.03,299.02,22068828.0,303.37,298.03,299.02,300.53,22204112.0,1.0,0.0,GOOG,XNAS,2026-03-23 00:00:00+00:00,Mar 23
27,296.21,297.09,288.855,289.2,27300898.0,297.1,288.855,289.2,296.21,27411194.0,1.0,0.0,GOOG,XNAS,2026-03-24 00:00:00+00:00,Mar 24
